Team,Player,Position
Stoke City,Glen Johnson, Defender
Stoke City,Phil Bardsley, Defender
Stoke City,Tom Edwards, Defender
Stoke City,Giannelli Imbula, Midfielder
Stoke City,Glenn Whelan, Midfielder
Stoke City,Joe Allen, Midfielder
Stoke City,Charlie Adam, Midfielder
Stoke City,Xherdan Shaqiri, Midfielder
Stoke City,Ramadan Sobhi, Midfielder
Stoke City,Ibrahim Afellay, Midfielder
Stoke City,Stephen Ireland, Midfielder
Stoke City,Thibaud Verlinden, Midfielder
Stoke City,Jonathan Walters, Midfielder
Stoke City,Bojan Krkic, Forward
Stoke City,Wilfried Bony, Forward
Stoke City,Saido Berahino, Forward
Stoke City,Marko Arnautovic, Forward
Stoke City,Mame Diouf, Forward
Stoke City,Joselu, Forward
Stoke City,Peter Crouch, Forward
Stoke City,Julien Ngoy, Forward
Hull City,David Marshall, Goalkeeper
Hull City,Allan McGregor, Goalkeeper
Hull City,Dusan Kuciak, Goalkeeper
Hull City,Eldin Jakupović, Goalkeeper
Hull City,Will Mannion, Goalkeeper
Hull City,Harry Maguire, Defender
Hull City,Andrea Ranocchia, Defender
Hull City,Markus Henriksen, Defender
Hull City,Curtis Davies, Defender
Hull City,Michael Dawson, Defender
Hull City,Alex Bruce, Defender
Hull City,Harvey Rodgers, Defender
Hull City,Andrew Robertson, Defender
Hull City,Josh Tymon, Defender
Hull City,Omar Elabdellaoui, Defender
Hull City,Moses Odubajo, Defender
Hull City,Ahmed El Mohamady, Defender
Hull City,Brian Lenihan, Defender
Hull City,Josh Clackstone, Defender
Hull City,Jake Livermore, Midfielder
Hull City,Alfred N'Diaye, Midfielder
Hull City,Tom Huddlestone, Midfielder
Hull City,Ryan Mason, Midfielder
Hull City,Sam Clucas, Midfielder
Hull City,David Meyler, Midfielder
Hull City,James Weir, Midfielder
Hull City,Daniel Batty, Midfielder
Hull City,Evandro, Midfielder
Hull City,Shaun Maloney, Midfielder
Hull City,Greg Olley, Midfielder
Hull City,Kamil Grosicki, Midfielder
Hull City,Ben Hinchliffe, Midfielder
Hull City,Lazar Markovic, Midfielder
Hull City,Robert Snodgrass, Midfielder
Hull City,Jarrod Bowen, Midfielder
Hull City,Oumar Niasse, Forward
Hull City,Abel Hernández, Forward
Hull City,Dieumerci Mbokani, Forward
Hull City,Will Keane, Forward
Hull City,Adama Diomande, Forward
Hull City,Greg Luer, Forward
Hull City,Johan Ter Horst, Forward
Sunderland AFC,Jordan Pickford, Goalkeeper
Sunderland AFC,Vito Mannone, Goalkeeper
Sunderland AFC,Mika, Goalkeeper
Sunderland AFC,Maksymilian Stryjek, Goalkeeper
Sunderland AFC,Lamine Koné, Defender
Sunderland AFC,Papy Djilobodji, Defender
Sunderland AFC,Jack Rodwell, Defender
Sunderland AFC,Jason Denayer, Defender
Sunderland AFC,Paddy McNair, Defender
Sunderland AFC,Younès Kaboul, Defender
Sunderland AFC,Joleon Lescott, Defender
Sunderland AFC,John O'Shea, Defender
Sunderland AFC,Michael Ledger, Defender
Sunderland AFC,Patrick van Aanholt, Defender
West Bromwich Albion,Ben Foster, Goalkeeper
West Bromwich Albion,Boaz Myhill, Goalkeeper
West Bromwich Albion,Jack Rose, Goalkeeper
West Bromwich Albion,Alex Palmer, Goalkeeper
West Bromwich Albion,Jonny Evans, Defender
West Bromwich Albion,Craig Dawson, Defender
West Bromwich Albion,Brendan Galloway, Defender
West Bromwich Albion,Marc Wilson, Defender
West Bromwich Albion,Jonas Olsson, Defender
West Bromwich Albion,Gareth McAuley, Defender
West Bromwich Albion,Sébastien Pocognoli, Defender
West Bromwich Albion,Allan Nyom, Defender
West Bromwich Albion,Kane Wilson, Defender
West Bromwich Albion,Jake Livermore, Midfielder
West Bromwich Albion,Claudio Yacob, Midfielder
West Bromwich Albion,Sam Field, Midfielder
West Bromwich Albion,James Morrison, Midfielder
West Bromwich Albion,Chris Brunt, Midfielder
West Bromwich Albion,Craig Gardner, Midfielder
West Bromwich Albion,Darren Fletcher, Midfielder
West Bromwich Albion,Rekeem Harper, Midfielder
West Bromwich Albion,James McClean, Midfielder
West Bromwich Albion,Nacer Chadli, Midfielder
West Bromwich Albion,Matt Phillips, Midfielder
West Bromwich Albion,Callum McManaman, Midfielder
West Bromwich Albion,Jonathan Leko, Midfielder
West Bromwich Albion,Saido Berahino, Forward
West Bromwich Albion,Salomón Rondón, Forward
West Bromwich Albion,Hal Robson-Kanu, Forward
West Bromwich Albion,Rickie Lambert, Forward
Middlesbrough FC,Víctor Valdés, Goalkeeper
Middlesbrough FC,Brad Guzan, Goalkeeper
Middlesbrough FC,Tomás Mejías, Goalkeeper
Middlesbrough FC,Connor Ripley, Goalkeeper
Middlesbrough FC,Dimitrios Konstantopoulos, Goalkeeper
Middlesbrough FC,Calum Chambers, Defender
Middlesbrough FC,Ben Gibson, Defender
Middlesbrough FC,Bernardo Espinosa, Defender
Middlesbrough FC,Daniel Ayala, Defender
Middlesbrough FC,Alex Baptiste, Defender
Middlesbrough FC,Dael Fry, Defender
Middlesbrough FC,George Friend, Defender
Middlesbrough FC,James Husband, Defender
Middlesbrough FC,Antonio Barragán, Defender
Middlesbrough FC,Fábio, Defender
Middlesbrough FC,Marten de Roon, Midfielder
Middlesbrough FC,Julien De Sart, Midfielder
Middlesbrough FC,Adlène Guédioura, Midfielder
Middlesbrough FC,Gastón Ramírez, Midfielder
Middlesbrough FC,Adam Clayton, Midfielder
Middlesbrough FC,Adam Forshaw, Midfielder
Middlesbrough FC,Grant Leadbitter, Midfielder
Middlesbrough FC,Adam Reach, Midfielder
Middlesbrough FC,Stewart Downing, Midfielder
Middlesbrough FC,Viktor Fischer, Midfielder
Middlesbrough FC,Carlos de Pena, Midfielder
Middlesbrough FC,Adama Traoré, Midfielder
Middlesbrough FC,Albert Adomah, Midfielder
Middlesbrough FC,Jordan Rhodes, Forward
Middlesbrough FC,Álvaro Negredo, Forward
Middlesbrough FC,Rudy Gestede, Forward
Middlesbrough FC,Patrick Bamford, Forward
Middlesbrough FC,Cristhian Stuani, Forward
Middlesbrough FC,David Nugent, Forward
Middlesbrough FC,Emilio Nsue, Forward
Swansea City,Lukasz Fabianski, Goalkeeper
Swansea City,Kristoffer Nordfeldt, Goalkeeper
Swansea City,Mark Birighitti, Goalkeeper
Swansea City,Gerhard Tremmel, Goalkeeper
Swansea City,Federico Fernández, Defender
Swansea City,Alfie Mawson, Defender
Swansea City,Kyle Bartley, Defender
Swansea City,Jordi Amat, Defender
Swansea City,Mike van der Hoorn, Defender
Swansea City,Neil Taylor, Defender
Swansea City,Martin Olsson, Defender
Swansea City,Franck Tabanou, Defender
Swansea City,Stephen Kingsley, Defender
Swansea City,Kyle Naughton, Defender
Swansea City,Ángel Rangel, Defender
Swansea City,Connor Roberts, Defender
Swansea City,Leroy Fer, Midfielder
Swansea City,Sung-yueng Ki, Midfielder
Swansea City,Jack Cork, Midfielder
Swansea City,Matt Grimes, Midfielder
Swansea City,Tom Carroll, Midfielder
Swansea City,Leon Britton, Midfielder
Swansea City,Jay Fulton, Midfielder
Swansea City,Gylfi Sigurdsson, Midfielder
Swansea City,Jefferson Montero, Midfielder
Swansea City,Modou Barrow, Midfielder
Swansea City,Wayne Routledge, Midfielder
Swansea City,Kenji Gorré, Midfielder
Swansea City,Jordan Ayew, Midfielder
Swansea City,Luciano Narsingh, Midfielder
Swansea City,Nathan Dyer, Midfielder
Swansea City,Daniel James, Midfielder
Swansea City,Borja Bastón, Forward
Swansea City,Fernando Llorente, Forward
Swansea City,Bafétimbi Gomis, Forward
Swansea City,Marvin Emnes, Forward
Swansea City,Oli McBurnie, Forward
