Team,Player,Position
Manchester United,Ander Herrera,Midfielder
Manchester United,Marouane Fellaini,Midfielder
Manchester United,Bastian Schweinsteiger,Midfielder
Manchester United,Matty Willock,Midfielder
Manchester United,Scott McTominay,Midfielder
Manchester United,Juan Mata,Midfielder
Manchester United,Jesse Lingard,Midfielder
Manchester United,Andreas Pereira,Midfielder
Manchester United,Demetri Mitchell,Midfielder
Manchester United,Josh Harrop,Midfielder
Manchester United,Angel Gomes,Midfielder
Manchester United,Marcus Rashford,Midfielder
Manchester United,Adnan Januzaj,Midfielder
Manchester United,Phil Jones, Defender
Manchester United,Cameron Borthwick-Jackson, Defender
Manchester United,Matteo Darmian, Defender
Manchester United,Antonio Valencia, Defender
Manchester United,Ashley Young, Defender
Manchester United,Timothy Fosu-Mensah, Defender
Manchester United,Axel Tuanzebe, Defender
Liverpool FC,Joel Matip, Defender
Liverpool FC,Dejan Lovren, Defender
Liverpool FC,Mamadou Sakho, Defender
Liverpool FC,Joe Gomez, Defender
Liverpool FC,Ragnar Klavan, Defender
Liverpool FC,Alberto Moreno, Defender
Liverpool FC,Nathaniel Clyne, Defender
Liverpool FC,Jon Flanagan, Defender
Liverpool FC,Andre Wisdom, Defender
Liverpool FC,Trent Alexander-Arnold, Defender
Liverpool FC,Emre Can,Midfielder
Liverpool FC,Lucas Leiva,Midfielder
Liverpool FC,Marko Grujić,Midfielder
Liverpool FC,Kevin Stewart,Midfielder
Liverpool FC,MJ Williams,Midfielder
Liverpool FC,Paulinho,Midfielder
Liverpool FC,Georginio Wijnaldum,Midfielder
Liverpool FC,Jordan Henderson,Midfielder
Liverpool FC,James Milner,Midfielder
Liverpool FC,Ovie Ejaria,Midfielder
Liverpool FC,Philippe Coutinho,Midfielder
Everton FC,Ashley Williams, Defender
Everton FC,Mason Holgate, Defender
Everton FC,Brendan Galloway, Defender
Everton FC,Phil Jagielka, Defender
Everton FC,Tyias Browning, Defender
Everton FC,Matthew Pennington, Defender
Everton FC,Leighton Baines, Defender
Everton FC,Bryan Oviedo, Defender
Everton FC,Luke Garbutt, Defender
Everton FC,Séamus Coleman, Defender
Everton FC,Morgan Schneiderlin,Midfielder
Everton FC,Idrissa Gueye,Midfielder
Everton FC,Muhamed Besic,Midfielder
Everton FC,Gareth Barry,Midfielder
Everton FC,Ross Barkley,Midfielder
Everton FC,James McCarthy,Midfielder
Everton FC,Tom Cleverley,Midfielder
Everton FC,Tom Davies,Midfielder
Everton FC,Darron Gibson,Midfielder
Everton FC,Joe Williams,Midfielder
Everton FC,Yannick Bolasie,Midfielder
Everton FC,Aiden McGeady,Midfielder
Everton FC,Kevin Mirallas,Midfielder
Everton FC,Aaron Lennon,Midfielder
West Ham United,Winston Reid, Defender
West Ham United,Angelo Ogbonna, Defender
West Ham United,José Fonte, Defender
West Ham United,Reece Oxford, Defender
West Ham United,James Collins, Defender
West Ham United,Reece Burke, Defender
West Ham United,Doneil Henry, Defender
West Ham United,Aaron Cresswell, Defender
West Ham United,Arthur Masuaku, Defender
West Ham United,Cheikhou Kouyaté,Midfielder
West Ham United,Håvard Nordtveit,Midfielder
West Ham United,Edimilson Fernandes,Midfielder
West Ham United,Josh Cullen,Midfielder
West Ham United,Pedro Obiang,Midfielder
West Ham United,Mark Noble,Midfielder
West Ham United,Moses Makasi,Midfielder
West Ham United,Declan Rice,Midfielder
West Ham United,Domingos Quina,Midfielder
West Ham United,Dimitri Payet,Midfielder
West Ham United,Manuel Lanzini,Midfielder
West Ham United,Dan Kemp,Midfielder
West Ham United,Marcus Browne,Midfielder
West Ham United,Nathan Holland,Midfielder
West Ham United,Gökhan Töre,Midfielder
West Ham United,Robert Snodgrass,Midfielder
Stoke City,Joel Taylor, Defender
Stoke City,Glen Johnson, Defender
Stoke City,Phil Bardsley, Defender
Stoke City,Tom Edwards, Defender
Stoke City,Giannelli Imbula,Midfielder
Stoke City,Glenn Whelan,Midfielder
Stoke City,Joe Allen,Midfielder
Stoke City,Charlie Adam,Midfielder
Stoke City,Xherdan Shaqiri,Midfielder
Stoke City,Ramadan Sobhi,Midfielder
Stoke City,Ibrahim Afellay,Midfielder
Stoke City,Stephen Ireland,Midfielder
Stoke City,Thibaud Verlinden,Midfielder
Stoke City,Jonathan Walters,Midfielder
Stoke City,Bojan Krkic,Forward
Stoke City,Wilfried Bony,Forward
Stoke City,Saido Berahino,Forward
Stoke City,Marko Arnautovic,Forward
Stoke City,Mame Diouf,Forward
Stoke City,Joselu,Forward
Stoke City,Peter Crouch,Forward
Stoke City,Julien Ngoy,Forward
Hull City,David Marshall, Goalkeeper
Hull City,Allan McGregor, Goalkeeper
Hull City,Dusan Kuciak, Goalkeeper
Hull City,Eldin Jakupović, Goalkeeper
Hull City,Will Mannion, Goalkeeper
Hull City,Harry Maguire, Defender
Hull City,Andrea Ranocchia, Defender
Hull City,Markus Henriksen, Defender
Hull City,Curtis Davies, Defender
Hull City,Michael Dawson, Defender
Hull City,Alex Bruce, Defender
Hull City,Harvey Rodgers, Defender
Hull City,Andrew Robertson, Defender
Hull City,Josh Tymon, Defender
Hull City,Omar Elabdellaoui, Defender
Hull City,Moses Odubajo, Defender
Hull City,Ahmed El Mohamady, Defender
Hull City,Brian Lenihan, Defender
Hull City,Josh Clackstone, Defender
Hull City,Jake Livermore,Midfielder
Hull City,Alfred N'Diaye,Midfielder
Hull City,Tom Huddlestone,Midfielder
Hull City,Ryan Mason,Midfielder
Hull City,Sam Clucas,Midfielder
Hull City,David Meyler,Midfielder
Hull City,James Weir,Midfielder
Hull City,Daniel Batty,Midfielder
Hull City,Evandro,Midfielder
Hull City,Shaun Maloney,Midfielder
